movie_name,genres,content_rating,year,genre
Men in Black 3,"Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",PG-13,2012,Family
Men in Black 3,"Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",PG-13,2012,Fantasy
Men in Black 3,"Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",PG-13,2012,Sci-Fi
The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",PG-13,2014,Adventure
The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",PG-13,2014,Fantasy
The Amazing Spider-Man,"Action,Adventure,Fantasy",PG-13,2012,Action
The Amazing Spider-Man,"Action,Adventure,Fantasy",PG-13,2012,Adventure
The Amazing Spider-Man,"Action,Adventure,Fantasy",PG-13,2012,Fantasy
Robin Hood,"Action,Adventure,Drama,History",PG-13,2010,Action
Robin Hood,"Action,Adventure,Drama,History",PG-13,2010,Adventure
Robin Hood,"Action,Adventure,Drama,History",PG-13,2010,Drama
Robin Hood,"Action,Adventure,Drama,History",PG-13,2010,History
The Hobbit: The Desolation of Smaug,"Adventure,Fantasy",PG-13,2013,Adventure
The Hobbit: The Desolation of Smaug,"Adventure,Fantasy",PG-13,2013,Fantasy
The Golden Compass,"Adventure,Family,Fantasy",PG-13,2007,Adventure
The Golden Compass,"Adventure,Family,Fantasy",PG-13,2007,Family
The Golden Compass,"Adventure,Family,Fantasy",PG-13,2007,Fantasy
King Kong,"Action,Adventure,Drama,Romance",PG-13,2005,Action
King Kong,"Action,Adventure,Drama,Romance",PG-13,2005,Adventure
King Kong,"Action,Adventure,Drama,Romance",PG-13,2005,Drama
King Kong,"Action,Adventure,Drama,Romance",PG-13,2005,Romance
Titanic,"Drama,Romance",PG-13,1997,Drama
Titanic,"Drama,Romance",PG-13,1997,Romance
Captain America: Civil War,"Action,Adventure,Sci-Fi",PG-13,2016,Action
Captain America: Civil War,"Action,Adventure,Sci-Fi",PG-13,2016,Adventure
Captain America: Civil War,"Action,Adventure,Sci-Fi",PG-13,2016,Sci-Fi
Battleship,"Action,Adventure,Sci-Fi,Thriller",PG-13,2012,Action
Battleship,"Action,Adventure,Sci-Fi,Thriller",PG-13,2012,Adventure
Battleship,"Action,Adventure,Sci-Fi,Thriller",PG-13,2012,Sci-Fi
Battleship,"Action,Adventure,Sci-Fi,Thriller",PG-13,2012,Thriller
Jurassic World,"Action,Adventure,Sci-Fi,Thriller",PG-13,2015,Action
Jurassic World,"Action,Adventure,Sci-Fi,Thriller",PG-13,2015,Adventure
Jurassic World,"Action,Adventure,Sci-Fi,Thriller",PG-13,2015,Sci-Fi
Jurassic World,"Action,Adventure,Sci-Fi,Thriller",PG-13,2015,Thriller
Skyfall,"Action,Adventure,Thriller",PG-13,2012,Action
Skyfall,"Action,Adventure,Thriller",PG-13,2012,Adventure
Skyfall,"Action,Adventure,Thriller",PG-13,2012,Thriller
Spider-Man 2,"Action,Adventure,Fantasy,Romance",PG-13,2004,Action
Spider-Man 2,"Action,Adventure,Fantasy,Romance",PG-13,2004,Adventure
Spider-Man 2,"Action,Adventure,Fantasy,Romance",PG-13,2004,Fantasy
Spider-Man 2,"Action,Adventure,Fantasy,Romance",PG-13,2004,Romance
Iron Man 3,"Action,Adventure,Sci-Fi",PG-13,2013,Action
Iron Man 3,"Action,Adventure,Sci-Fi",PG-13,2013,Adventure
Iron Man 3,"Action,Adventure,Sci-Fi",PG-13,2013,Sci-Fi
Alice in Wonderland,"Adventure,Family,Fantasy",PG,2010,Adventure
Alice in Wonderland,"Adventure,Family,Fantasy",PG,2010,Family
Alice in Wonderland,"Adventure,Family,Fantasy",PG,2010,Fantasy
X-Men: The Last Stand,"Action,Adventure,Fantasy,Sci-Fi,Thriller",PG-13,2006,Action
X-Men: The Last Stand,"Action,Adventure,Fantasy,Sci-Fi,Thriller",PG-13,2006,Adventure
X-Men: The Last Stand,"Action,Adventure,Fantasy,Sci-Fi,Thriller",PG-13,2006,Fantasy
X-Men: The Last Stand,"Action,Adventure,Fantasy,Sci-Fi,Thriller",PG-13,2006,Sci-Fi
X-Men: The Last Stand,"Action,Adventure,Fantasy,Sci-Fi,Thriller",PG-13,2006,Thriller
Monsters University,"Adventure,Animation,Comedy,Family,Fantasy",G,2013,Adventure
Monsters University,"Adventure,Animation,Comedy,Family,Fantasy",G,2013,Animation
Monsters University,"Adventure,Animation,Comedy,Family,Fantasy",G,2013,Comedy
Monsters University,"Adventure,Animation,Comedy,Family,Fantasy",G,2013,Family
Monsters University,"Adventure,Animation,Comedy,Family,Fantasy",G,2013,Fantasy
Transformers: Revenge of the Fallen,"Action,Adventure,Sci-Fi",PG-13,2009,Action
Transformers: Revenge of the Fallen,"Action,Adventure,Sci-Fi",PG-13,2009,Adventure
Transformers: Revenge of the Fallen,"Action,Adventure,Sci-Fi",PG-13,2009,Sci-Fi
Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",PG-13,2014,Action
Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",PG-13,2014,Adventure
Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",PG-13,2014,Sci-Fi
Oz the Great and Powerful,"Adventure,Family,Fantasy",PG,2013,Adventure
Oz the Great and Powerful,"Adventure,Family,Fantasy",PG,2013,Family
Oz the Great and Powerful,"Adventure,Family,Fantasy",PG,2013,Fantasy
The Amazing Spider-Man 2,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2014,Action
The Amazing Spider-Man 2,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2014,Adventure
The Amazing Spider-Man 2,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2014,Fantasy
The Amazing Spider-Man 2,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2014,Sci-Fi
TRON: Legacy,"Action,Adventure,Sci-Fi",PG,2010,Action
TRON: Legacy,"Action,Adventure,Sci-Fi",PG,2010,Adventure
TRON: Legacy,"Action,Adventure,Sci-Fi",PG,2010,Sci-Fi
Cars 2,"Adventure,Animation,Comedy,Family,Sport",G,2011,Adventure
Cars 2,"Adventure,Animation,Comedy,Family,Sport",G,2011,Animation
Cars 2,"Adventure,Animation,Comedy,Family,Sport",G,2011,Comedy
Cars 2,"Adventure,Animation,Comedy,Family,Sport",G,2011,Family
Cars 2,"Adventure,Animation,Comedy,Family,Sport",G,2011,Sport
Green Lantern,"Action,Adventure,Sci-Fi",PG-13,2011,Action
Green Lantern,"Action,Adventure,Sci-Fi",PG-13,2011,Adventure
Green Lantern,"Action,Adventure,Sci-Fi",PG-13,2011,Sci-Fi
Toy Story 3,"Adventure,Animation,Comedy,Family,Fantasy",G,2010,Adventure
Toy Story 3,"Adventure,Animation,Comedy,Family,Fantasy",G,2010,Animation
Toy Story 3,"Adventure,Animation,Comedy,Family,Fantasy",G,2010,Comedy
Toy Story 3,"Adventure,Animation,Comedy,Family,Fantasy",G,2010,Family
Toy Story 3,"Adventure,Animation,Comedy,Family,Fantasy",G,2010,Fantasy
Terminator Salvation,"Action,Adventure,Sci-Fi",PG-13,2009,Action
Terminator Salvation,"Action,Adventure,Sci-Fi",PG-13,2009,Adventure
Terminator Salvation,"Action,Adventure,Sci-Fi",PG-13,2009,Sci-Fi
Furious 7,"Action,Crime,Thriller",PG-13,2015,Action
Furious 7,"Action,Crime,Thriller",PG-13,2015,Crime
Furious 7,"Action,Crime,Thriller",PG-13,2015,Thriller
World War Z,"Action,Adventure,Horror,Sci-Fi,Thriller",PG-13,2013,Action
World War Z,"Action,Adventure,Horror,Sci-Fi,Thriller",PG-13,2013,Adventure
World War Z,"Action,Adventure,Horror,Sci-Fi,Thriller",PG-13,2013,Horror
World War Z,"Action,Adventure,Horror,Sci-Fi,Thriller",PG-13,2013,Sci-Fi
World War Z,"Action,Adventure,Horror,Sci-Fi,Thriller",PG-13,2013,Thriller
X-Men: Days of Future Past,"Action,Adventure,Fantasy,Sci-Fi,Thriller",PG-13,2014,Action
X-Men: Days of Future Past,"Action,Adventure,Fantasy,Sci-Fi,Thriller",PG-13,2014,Adventure
X-Men: Days of Future Past,"Action,Adventure,Fantasy,Sci-Fi,Thriller",PG-13,2014,Fantasy
X-Men: Days of Future Past,"Action,Adventure,Fantasy,Sci-Fi,Thriller",PG-13,2014,Sci-Fi
X-Men: Days of Future Past,"Action,Adventure,Fantasy,Sci-Fi,Thriller",PG-13,2014,Thriller
Star Trek Into Darkness,"Action,Adventure,Sci-Fi",PG-13,2013,Action
Star Trek Into Darkness,"Action,Adventure,Sci-Fi",PG-13,2013,Adventure
Star Trek Into Darkness,"Action,Adventure,Sci-Fi",PG-13,2013,Sci-Fi
Jack the Giant Slayer,"Adventure,Fantasy",PG-13,2013,Adventure
Jack the Giant Slayer,"Adventure,Fantasy",PG-13,2013,Fantasy
The Great Gatsby,"Drama,Romance",PG-13,2013,Drama
The Great Gatsby,"Drama,Romance",PG-13,2013,Romance
Prince of Persia: The Sands of Time,"Action,Adventure,Fantasy,Romance",PG-13,2010,Action
Prince of Persia: The Sands of Time,"Action,Adventure,Fantasy,Romance",PG-13,2010,Adventure
Prince of Persia: The Sands of Time,"Action,Adventure,Fantasy,Romance",PG-13,2010,Fantasy
Prince of Persia: The Sands of Time,"Action,Adventure,Fantasy,Romance",PG-13,2010,Romance
Pacific Rim,"Action,Adventure,Sci-Fi",PG-13,2013,Action
Pacific Rim,"Action,Adventure,Sci-Fi",PG-13,2013,Adventure
Pacific Rim,"Action,Adventure,Sci-Fi",PG-13,2013,Sci-Fi
Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",PG-13,2011,Action
Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",PG-13,2011,Adventure
Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",PG-13,2011,Sci-Fi
Indiana Jones and the Kingdom of the Crystal Skull,"Action,Adventure,Fantasy",PG-13,2008,Action
Indiana Jones and the Kingdom of the Crystal Skull,"Action,Adventure,Fantasy",PG-13,2008,Adventure
Indiana Jones and the Kingdom of the Crystal Skull,"Action,Adventure,Fantasy",PG-13,2008,Fantasy
The Good Dinosaur,"Adventure,Animation,Comedy,Family,Fantasy",PG,2015,Adventure
The Good Dinosaur,"Adventure,Animation,Comedy,Family,Fantasy",PG,2015,Animation
The Good Dinosaur,"Adventure,Animation,Comedy,Family,Fantasy",PG,2015,Comedy
The Good Dinosaur,"Adventure,Animation,Comedy,Family,Fantasy",PG,2015,Family
The Good Dinosaur,"Adventure,Animation,Comedy,Family,Fantasy",PG,2015,Fantasy
Brave,"Adventure,Animation,Comedy,Family,Fantasy",PG,2012,Adventure
Brave,"Adventure,Animation,Comedy,Family,Fantasy",PG,2012,Animation
Brave,"Adventure,Animation,Comedy,Family,Fantasy",PG,2012,Comedy
Brave,"Adventure,Animation,Comedy,Family,Fantasy",PG,2012,Family
Brave,"Adventure,Animation,Comedy,Family,Fantasy",PG,2012,Fantasy
Star Trek Beyond,"Action,Adventure,Sci-Fi,Thriller",PG-13,2016,Action
Star Trek Beyond,"Action,Adventure,Sci-Fi,Thriller",PG-13,2016,Adventure
Star Trek Beyond,"Action,Adventure,Sci-Fi,Thriller",PG-13,2016,Sci-Fi
Star Trek Beyond,"Action,Adventure,Sci-Fi,Thriller",PG-13,2016,Thriller
WALL·E,"Adventure,Animation,Family,Sci-Fi",G,2008,Adventure
WALL·E,"Adventure,Animation,Family,Sci-Fi",G,2008,Animation
WALL·E,"Adventure,Animation,Family,Sci-Fi",G,2008,Family
WALL·E,"Adventure,Animation,Family,Sci-Fi",G,2008,Sci-Fi
Rush Hour 3,"Action,Comedy,Crime,Thriller",PG-13,2007,Action
Rush Hour 3,"Action,Comedy,Crime,Thriller",PG-13,2007,Comedy
Rush Hour 3,"Action,Comedy,Crime,Thriller",PG-13,2007,Crime
Rush Hour 3,"Action,Comedy,Crime,Thriller",PG-13,2007,Thriller
2012,"Action,Adventure,Sci-Fi",PG-13,2009,Action
2012,"Action,Adventure,Sci-Fi",PG-13,2009,Adventure
2012,"Action,Adventure,Sci-Fi",PG-13,2009,Sci-Fi
A Christmas Carol,"Animation,Drama,Family,Fantasy",PG,2009,Animation
A Christmas Carol,"Animation,Drama,Family,Fantasy",PG,2009,Drama
A Christmas Carol,"Animation,Drama,Family,Fantasy",PG,2009,Family
A Christmas Carol,"Animation,Drama,Family,Fantasy",PG,2009,Fantasy
Jupiter Ascending,"Action,Adventure,Sci-Fi",PG-13,2015,Action
Jupiter Ascending,"Action,Adventure,Sci-Fi",PG-13,2015,Adventure
Jupiter Ascending,"Action,Adventure,Sci-Fi",PG-13,2015,Sci-Fi
The Legend of Tarzan,"Action,Adventure,Drama,Romance",PG-13,2016,Action
The Legend of Tarzan,"Action,Adventure,Drama,Romance",PG-13,2016,Adventure
The Legend of Tarzan,"Action,Adventure,Drama,Romance",PG-13,2016,Drama
The Legend of Tarzan,"Action,Adventure,Drama,Romance",PG-13,2016,Romance
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure,Family,Fantasy",PG,2005,Adventure
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure,Family,Fantasy",PG,2005,Family
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure,Family,Fantasy",PG,2005,Fantasy
X-Men: Apocalypse,"Action,Adventure,Sci-Fi",PG-13,2016,Action
X-Men: Apocalypse,"Action,Adventure,Sci-Fi",PG-13,2016,Adventure
X-Men: Apocalypse,"Action,Adventure,Sci-Fi",PG-13,2016,Sci-Fi
The Dark Knight,"Action,Crime,Drama,Thriller",PG-13,2008,Action
The Dark Knight,"Action,Crime,Drama,Thriller",PG-13,2008,Crime
The Dark Knight,"Action,Crime,Drama,Thriller",PG-13,2008,Drama
The Dark Knight,"Action,Crime,Drama,Thriller",PG-13,2008,Thriller
Up,"Adventure,Animation,Comedy,Family",PG,2009,Adventure
Up,"Adventure,Animation,Comedy,Family",PG,2009,Animation
Up,"Adventure,Animation,Comedy,Family",PG,2009,Comedy
Up,"Adventure,Animation,Comedy,Family",PG,2009,Family
Monsters vs. Aliens,"Action,Adventure,Animation,Comedy,Family,Sci-Fi",PG,2009,Action
Monsters vs. Aliens,"Action,Adventure,Animation,Comedy,Family,Sci-Fi",PG,2009,Adventure
Monsters vs. Aliens,"Action,Adventure,Animation,Comedy,Family,Sci-Fi",PG,2009,Animation
Monsters vs. Aliens,"Action,Adventure,Animation,Comedy,Family,Sci-Fi",PG,2009,Comedy
Monsters vs. Aliens,"Action,Adventure,Animation,Comedy,Family,Sci-Fi",PG,2009,Family
Monsters vs. Aliens,"Action,Adventure,Animation,Comedy,Family,Sci-Fi",PG,2009,Sci-Fi
Iron Man,"Action,Adventure,Sci-Fi",PG-13,2008,Action
Iron Man,"Action,Adventure,Sci-Fi",PG-13,2008,Adventure
Iron Man,"Action,Adventure,Sci-Fi",PG-13,2008,Sci-Fi
Hugo,"Adventure,Drama,Family,Mystery",PG,2011,Adventure
Hugo,"Adventure,Drama,Family,Mystery",PG,2011,Drama
Hugo,"Adventure,Drama,Family,Mystery",PG,2011,Family
Hugo,"Adventure,Drama,Family,Mystery",PG,2011,Mystery
Wild Wild West,"Action,Comedy,Sci-Fi,Western",PG-13,1999,Action
Wild Wild West,"Action,Comedy,Sci-Fi,Western",PG-13,1999,Comedy
Wild Wild West,"Action,Comedy,Sci-Fi,Western",PG-13,1999,Sci-Fi
Wild Wild West,"Action,Comedy,Sci-Fi,Western",PG-13,1999,Western
The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy,Horror,Thriller",PG-13,2008,Action
The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy,Horror,Thriller",PG-13,2008,Adventure
The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy,Horror,Thriller",PG-13,2008,Fantasy
The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy,Horror,Thriller",PG-13,2008,Horror
The Mummy: Tomb of the Dragon Emperor,"Action,Adventure,Fantasy,Horror,Thriller",PG-13,2008,Thriller
Suicide Squad,"Action,Adventure,Comedy,Sci-Fi",PG-13,2016,Action
Suicide Squad,"Action,Adventure,Comedy,Sci-Fi",PG-13,2016,Adventure
Suicide Squad,"Action,Adventure,Comedy,Sci-Fi",PG-13,2016,Comedy
Suicide Squad,"Action,Adventure,Comedy,Sci-Fi",PG-13,2016,Sci-Fi
Evan Almighty,"Comedy,Family,Fantasy",PG,2007,Comedy
Evan Almighty,"Comedy,Family,Fantasy",PG,2007,Family
Evan Almighty,"Comedy,Family,Fantasy",PG,2007,Fantasy
Edge of Tomorrow,"Action,Adventure,Sci-Fi",PG-13,2014,Action
Edge of Tomorrow,"Action,Adventure,Sci-Fi",PG-13,2014,Adventure
Edge of Tomorrow,"Action,Adventure,Sci-Fi",PG-13,2014,Sci-Fi
Waterworld,"Action,Adventure,Sci-Fi,Thriller",PG-13,1995,Action
Waterworld,"Action,Adventure,Sci-Fi,Thriller",PG-13,1995,Adventure
Waterworld,"Action,Adventure,Sci-Fi,Thriller",PG-13,1995,Sci-Fi
Waterworld,"Action,Adventure,Sci-Fi,Thriller",PG-13,1995,Thriller
G.I. Joe: The Rise of Cobra,"Action,Adventure,Sci-Fi,Thriller",PG-13,2009,Action
G.I. Joe: The Rise of Cobra,"Action,Adventure,Sci-Fi,Thriller",PG-13,2009,Adventure
G.I. Joe: The Rise of Cobra,"Action,Adventure,Sci-Fi,Thriller",PG-13,2009,Sci-Fi
G.I. Joe: The Rise of Cobra,"Action,Adventure,Sci-Fi,Thriller",PG-13,2009,Thriller
Inside Out,"Adventure,Animation,Comedy,Drama,Family,Fantasy",PG,2015,Adventure
Inside Out,"Adventure,Animation,Comedy,Drama,Family,Fantasy",PG,2015,Animation
Inside Out,"Adventure,Animation,Comedy,Drama,Family,Fantasy",PG,2015,Comedy
Inside Out,"Adventure,Animation,Comedy,Drama,Family,Fantasy",PG,2015,Drama
Inside Out,"Adventure,Animation,Comedy,Drama,Family,Fantasy",PG,2015,Family
Inside Out,"Adventure,Animation,Comedy,Drama,Family,Fantasy",PG,2015,Fantasy
The Jungle Book,"Adventure,Drama,Family,Fantasy",PG,2016,Adventure
The Jungle Book,"Adventure,Drama,Family,Fantasy",PG,2016,Drama
The Jungle Book,"Adventure,Drama,Family,Fantasy",PG,2016,Family
The Jungle Book,"Adventure,Drama,Family,Fantasy",PG,2016,Fantasy
Iron Man 2,"Action,Adventure,Sci-Fi",PG-13,2010,Action
Iron Man 2,"Action,Adventure,Sci-Fi",PG-13,2010,Adventure
Iron Man 2,"Action,Adventure,Sci-Fi",PG-13,2010,Sci-Fi
Snow White and the Huntsman,"Action,Adventure,Drama,Fantasy",PG-13,2012,Action
Snow White and the Huntsman,"Action,Adventure,Drama,Fantasy",PG-13,2012,Adventure
Snow White and the Huntsman,"Action,Adventure,Drama,Fantasy",PG-13,2012,Drama
Snow White and the Huntsman,"Action,Adventure,Drama,Fantasy",PG-13,2012,Fantasy
Maleficent,"Action,Adventure,Family,Fantasy,Romance",PG,2014,Action
Maleficent,"Action,Adventure,Family,Fantasy,Romance",PG,2014,Adventure
Maleficent,"Action,Adventure,Family,Fantasy,Romance",PG,2014,Family
Maleficent,"Action,Adventure,Family,Fantasy,Romance",PG,2014,Fantasy
Maleficent,"Action,Adventure,Family,Fantasy,Romance",PG,2014,Romance
Dawn of the Planet of the Apes,"Action,Adventure,Drama,Sci-Fi",PG-13,2014,Action
Dawn of the Planet of the Apes,"Action,Adventure,Drama,Sci-Fi",PG-13,2014,Adventure
Dawn of the Planet of the Apes,"Action,Adventure,Drama,Sci-Fi",PG-13,2014,Drama
Dawn of the Planet of the Apes,"Action,Adventure,Drama,Sci-Fi",PG-13,2014,Sci-Fi
The Lovers,"Action,Adventure,Romance,Sci-Fi",R,2015,Action
The Lovers,"Action,Adventure,Romance,Sci-Fi",R,2015,Adventure
The Lovers,"Action,Adventure,Romance,Sci-Fi",R,2015,Romance
The Lovers,"Action,Adventure,Romance,Sci-Fi",R,2015,Sci-Fi
47 Ronin,"Action,Adventure,Drama,Fantasy",PG-13,2013,Action
47 Ronin,"Action,Adventure,Drama,Fantasy",PG-13,2013,Adventure
47 Ronin,"Action,Adventure,Drama,Fantasy",PG-13,2013,Drama
47 Ronin,"Action,Adventure,Drama,Fantasy",PG-13,2013,Fantasy
Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",PG-13,2014,Action
Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",PG-13,2014,Adventure
Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",PG-13,2014,Sci-Fi
Shrek Forever After,"Adventure,Animation,Comedy,Family,Fantasy",PG,2010,Adventure
Shrek Forever After,"Adventure,Animation,Comedy,Family,Fantasy",PG,2010,Animation
Shrek Forever After,"Adventure,Animation,Comedy,Family,Fantasy",PG,2010,Comedy
Shrek Forever After,"Adventure,Animation,Comedy,Family,Fantasy",PG,2010,Family
Shrek Forever After,"Adventure,Animation,Comedy,Family,Fantasy",PG,2010,Fantasy
Tomorrowland,"Action,Adventure,Family,Mystery,Sci-Fi",PG,2015,Action
Tomorrowland,"Action,Adventure,Family,Mystery,Sci-Fi",PG,2015,Adventure
Tomorrowland,"Action,Adventure,Family,Mystery,Sci-Fi",PG,2015,Family
Tomorrowland,"Action,Adventure,Family,Mystery,Sci-Fi",PG,2015,Mystery
Tomorrowland,"Action,Adventure,Family,Mystery,Sci-Fi",PG,2015,Sci-Fi
Big Hero 6,"Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi",PG,2014,Action
Big Hero 6,"Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi",PG,2014,Adventure
Big Hero 6,"Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi",PG,2014,Animation
Big Hero 6,"Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi",PG,2014,Comedy
Big Hero 6,"Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi",PG,2014,Drama
Big Hero 6,"Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi",PG,2014,Family
Big Hero 6,"Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi",PG,2014,Sci-Fi
Wreck-It Ralph,"Adventure,Animation,Comedy,Family,Sci-Fi",PG,2012,Adventure
Wreck-It Ralph,"Adventure,Animation,Comedy,Family,Sci-Fi",PG,2012,Animation
